,동-연번,상세위치,도로명주소,위도,경도
220,한남동-14,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 우사단로14길 69,37.5343277,126.9975669
221,한남동-15,외국인 밀집지역,서울특별시 용산구 대사관로6길 31,37.5334945,126.9993891
222,한남동-16,외국인 밀집지역,서울특별시 용산구 대사관로6가길 23,37.5330796,126.9987231
223,한남동-17,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 대사관로6가길 49,37.5330796,126.9987231
224,한남동-18,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 대사관로6가길 61,37.5330796,126.9987231
225,한남동-19,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 대사관로30가길 31,37.5319863,127.0037673
226,한남동-20,외국인 밀집지역 등,서울특별시 용산구 대사관로30가길 1,37.5319863,127.0037673
227,한남동-21,쓰레기 수거 거점지역 등,서울특별시 용산구 대사관로30가길 10,37.5319863,127.0037673
228,한남동-22,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 대사관로30나길 12,37.5315416,127.0043142
229,한남동-23,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 대사관로30나길 30,37.5315416,127.0043142
230,한남동-24,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 대사관로34나길 11-2,37.5299323,127.0054677
231,한남동-25,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 대사관로34나길 38,37.5299323,127.0054677
232,한남동-26,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 장문로49길 6,37.5299276,127.0040669
233,한남동-27,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 장문로49길 56,37.5299276,127.0040669
234,한남동-28,"외국인 밀집지역, 전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 장문로49길 76,37.5299276,127.0040669
235,한남동-29,"외국인 밀집지역, 전신주옆 등",서울특별시 용산구 장문로49길 104,37.5307483,127.0028782
236,한남동-30,전신주옆 등,서울특별시 용산구 장문로51길 12,37.5285442,127.0052443
237,한남동-31,전신주옆 등,서울특별시 용산구 독서당로3길 7,37.5290548,127.0061902
238,한남동-32,전신주옆 등,서울특별시 용산구 독서당로5길 11,37.529322,127.0058208
239,한남동-33,담배꽁초 무단투기 상습지역,서울특별시 용산구 이태원로 220,37.5348136,126.9984794
240,한남동-34,담배꽁초 무단투기 상습지역,서울특별시 용산구 이태원로 222,37.5344928,126.9944907
241,한남동-35,전신주옆 등,서울특별시 용산구 이태원로42길 34,37.5363988,127.0011975
242,한남동-36,"전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 이태원로45길 7,37.5366519,126.998443
243,한남동-37,"전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 한남대로 164,37.542555,127.0024758
244,한남동-38,"전신주옆, 쓰레기 수거 거점지역 등",서울특별시 용산구 한남대로10길 60,37.5330387,127.0087614
245,한남동-39,전신주옆 등,서울특별시 용산구 한남대로20길 51,37.5349505,127.0088506
246,한남동-40,전신주옆 등,서울특별시 용산구 독서당로 73,37.5342035,127.0084504
247,한남동-41,전신주옆 등,서울특별시 용산구 독서당로 78,37.5311476,127.0077012
248,한남동-42,전신주옆 등,서울특별시 용산구 한남대로42길 13,37.5432644,127.0029958
249,서빙고동-1,거주자 우선주차구역 주변,서울특별시 용산구 서빙고로 291,37.520219,126.9905063
250,서빙고동-2,"전신주, 의류수거함 주변",서울특별시 용산구 서빙고로65길 14,37.5219853,126.9942202
251,서빙고동-3,"전신주, 음식점 앞",서울특별시 용산구 서빙고로65길 10,37.5219853,126.9942202
252,서빙고동-4,"전신주 옆, 쓰레기 수거 거점지역 ",서울특별시 용산구 서빙고로65길 30,37.5219853,126.9942202
